id,estudiante_DNI,carrera_id,fechaInscripcion,fechaGraduacion
1,25879889,1,2019-02-16,2023-02-15
2,16145116,1,2024-05-25,null
3,32379378,1,2018-03-07,2023-11-22
4,30697955,2,2015-09-20,2020-12-12
5,53792340,2,2024-02-29,null
6,70042739,2,2022-07-11,null
7,5248249,2,2023-09-11,null
8,66943289,2,2018-03-07,2023-11-22
9,43506842,1,2022-08-27,null
10,56777235,3,2024-04-19,null
11,68090956,3,2019-08-01,2023-11-14
12,64475369,3,2017-10-15,2020-12-12
13,74678563,1,2016-04-09,2023-05-22
14,98927007,3,2022-12-01,null
15,16407288,3,2023-02-01,null
16,982952,4,2023-08-19,null
17,40972735,1,2023-12-17,null
18,85927940,4,2015-01-22,2023-02-22
19,52996371,4,2015-12-23,2020-08-21
20,87888571,4,2023-09-23,null
21,25351870,1,2022-03-16,null
22,9263051,2,2023-09-02,null
23,37634696,5,2018-11-05,2023-11-17
24,5964270,5,2014-07-16,2018-02-15
25,63107791,5,2022-08-19,null
26,442832,1,2024-09-02,null
27,40880980,5,2015-11-12,2020-12-12
28,23204867,5,2017-06-03,2022-04-05
29,9895564,6,2023-02-10,null
30,51533443,6,2024-08-22,null
